Название;Комнат;Номер квартиры;Статус;Площадь;Цена;Отделка
МАЙ, корп. 3, кв.117;СТ;117;Продажа;37,2;3152290,8;2
МАЙ, корп. 3, кв.118;СТ;118;Продажа;29,3;2458270;2
МАЙ, корп. 3, кв.119;СТ;119;Продажа;28,6;2654080;2
МАЙ, корп. 3, кв.120;СТ;120;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.121;СТ;121;Продажа;28,8;2351922,91;2
МАЙ, корп. 3, кв.122;СТ;122;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.123;1К;123;Продажа;41,4;3403080;2
МАЙ, корп. 3, кв.124;1К;124;Продажа;41,1;3378420;2
МАЙ, корп. 3, кв.125;СТ;125;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.126;СТ;126;Продажа;28,6;2654080;2
МАЙ, корп. 3, кв.127;СТ;127;Продажа;29,5;2374750;2
МАЙ, корп. 3, кв.128;1К;128;Продажа;39,3;2792186,01;2
МАЙ, корп. 3, кв.129;СТ;129;Продажа;27,8;2332420;2
МАЙ, корп. 3, кв.130;СТ;130;Продажа;36,6;3070740;2
МАЙ, корп. 3, кв.131;СТ;131;Продажа;29,3;2719040;2
МАЙ, корп. 3, кв.132;СТ;132;Продажа;28,6;2399540;2
МАЙ, корп. 3, кв.133;СТ;133;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.134;СТ;134;Продажа;28,8;2416320;2
МАЙ, корп. 3, кв.135;СТ;135;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.136;1К;136;Продажа;41,4;3403080;2
МАЙ, корп. 3, кв.137;1К;137;Продажа;41,1;3378420;2
МАЙ, корп. 3, кв.138;СТ;138;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.139;СТ;139;Продажа;28,6;2399540;2
МАЙ, корп. 3, кв.140;СТ;140;Продажа;29,5;2374750;2
МАЙ, корп. 3, кв.141;1К;141;Продажа;39,3;3364080;2
МАЙ, корп. 3, кв.142;СТ;142;Продажа;27,8;2579840;2
МАЙ, корп. 3, кв.143;СТ;143;Продажа;36,6;3070740;2
МАЙ, корп. 3, кв.144;СТ;144;Продажа;29,3;2458270;2
МАЙ, корп. 3, кв.145;СТ;145;Продажа;28,6;2399540;2
МАЙ, корп. 3, кв.146;СТ;146;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.147;СТ;147;Продажа;28,8;2672640;2
МАЙ, корп. 3, кв.148;СТ;148;Продажа;29,2;2802560;2
МАЙ, корп. 3, кв.149;1К;149;Продажа;41,4;3630780;2
МАЙ, корп. 3, кв.150;1К;150;Продажа;41,1;3515252,59;2
МАЙ, корп. 3, кв.151;СТ;151;Продажа;29,2;2242048;2
МАЙ, корп. 3, кв.152;СТ;152;Продажа;28,6;2654080;2
МАЙ, корп. 3, кв.153;СТ;153;Продажа;29,5;2374750;2
МАЙ, корп. 3, кв.154;1К;154;Продажа;39,3;2994030,81;2
МАЙ, корп. 3, кв.155;СТ;155;Продажа;27,8;2579840;2
МАЙ, корп. 3, кв.156;СТ;156;Продажа;36,6;3070740;2
МАЙ, корп. 3, кв.157;СТ;157;Продажа;29,3;2396740;2
МАЙ, корп. 3, кв.158;СТ;158;Продажа;28,6;2339480;2
МАЙ, корп. 3, кв.159;СТ;159;Продажа;29,2;2733100;2
МАЙ, корп. 3, кв.160;СТ;160;Продажа;28,8;2606400;2
МАЙ, корп. 3, кв.161;СТ;161;Продажа;29,2;2241142;2
МАЙ, корп. 3, кв.162;1К;162;Продажа;41,4;3324420;2
МАЙ, корп. 3, кв.163;1К;163;Продажа;41,1;3518160;2
МАЙ, корп. 3, кв.164;СТ;164;Продажа;29,2;1994771;0
МАЙ, корп. 3, кв.165;СТ;165;Продажа;28,6;2339480;2
МАЙ, корп. 3, кв.166;СТ;166;Продажа;29,5;2209519;2
МАЙ, корп. 3, кв.167;1К;167;Продажа;39,3;2949858;2
МАЙ, корп. 3, кв.168;СТ;168;Продажа;27,8;2515900;2
МАЙ, корп. 3, кв.169;СТ;169;Продажа;36,6;3214772,71;2
МАЙ, корп. 3, кв.170;СТ;170;Продажа;29,4;1905120;0
МАЙ, корп. 3, кв.171;СТ;171;Продажа;29,2;2221133,04;0
МАЙ, корп. 3, кв.172;1К;172;Продажа;39,9;2933111,24;0
МАЙ, корп. 3, кв.173;1К;173;Продажа;42;3180727,62;0
МАЙ, корп. 3, кв.174;1К;174;Продажа;41,9;3173154,46;0
МАЙ, корп. 3, кв.175;1К;175;Пл. Бронь;39,6;3168000;0
МАЙ, корп. 3, кв.176;СТ;176;Продажа;29,2;2201680;0
МАЙ, корп. 3, кв.177;СТ;177;Продажа;30,1;2222473,83;0
МАЙ, корп. 3, кв.178;СТ;178;Продажа;28,8;2190706,56;0
МАЙ, корп. 3, кв.179;СТ;179;Продажа;29;2215089,89;0
МАЙ, корп. 3, кв.180;1К;180;Продажа;39,3;2889004,31;0
МАЙ, корп. 3, кв.181;1К;181;Продажа;41,8;2838220;0
МАЙ, корп. 3, кв.182;1К;182;Продажа;41,7;3091480;0
МАЙ, корп. 3, кв.183;1К;183;Продажа;39;2953532,79;0
МАЙ, корп. 3, кв.184;СТ;184;Продажа;29;2281985,64;0
МАЙ, корп. 3, кв.185;СТ;185;Продажа;28,8;2171520;0
МАЙ, корп. 3, кв.186;СТ;186;Продажа;29,4;2244625,03;0
МАЙ, корп. 3, кв.187;1К;187;Продажа;39,6;2500000;0
МАЙ, корп. 3, кв.188;1К;188;Продажа;40,2;2546855;0
МАЙ, корп. 3, кв.189;1К;189;Продажа;40,5;2439315;0
МАЙ, корп. 3, кв.190;1К;190;Продажа;44,7;2733872;0
МАЙ, корп. 3, кв.191;СТ;191;Продажа;28,8;1983801,6;0
МАЙ, корп. 3, кв.192;СТ;192;Продажа;29;1809600;0
МАЙ, корп. 3, кв.193;1К;193;Продажа;39,3;2776548,54;0
МАЙ, корп. 3, кв.194;1К;194;Продажа;41,8;3098720;0
